mun6,ano,idade_anos,sexo
355030,7199,73.28,49.15
330455,6628,72.24,51.46
310620,1299,76.32,49.81
330100,1109,73.04,46.8
351880,1086,71.39,48.07
530010,1064,70.58,48.87
330490,1043,70.55,51.1
355220,1006,73.76,49.4
354990,839,75.11,44.7
354340,799,76.83,49.31
317020,756,76.38,47.88
330350,732,70.93,50.27
354980,699,74.48,47.93
350950,696,74.04,48.42
330170,611,71.5,50.08
353440,542,72.2,48.15
350280,513,75.46,45.03
314330,507,75.87,47.34
354780,491,75.99,50.51
352590,490,78.57,46.94
